|-------------------------------------------|--------------|--------------|----------|
| Image                                     | Derived OC   | Actual OC    | Distance |
|-------------------------------------------|--------------|--------------|----------|
| 02_test.tif                               | (466, 302)   | (458, 275)   |    28.16 |
|-------------------------------------------|--------------|--------------|----------|
| 04_test.tif                               | (353, 261)   | (361, 275)   |    16.12 |
|-------------------------------------------|--------------|--------------|----------|
| 06_test.tif                               | (462, 266)   | (461, 268)   |     2.24 |
|-------------------------------------------|--------------|--------------|----------|
| 08_test.tif                               | (455, 278)   | (485, 277)   |    30.02 |
|-------------------------------------------|--------------|--------------|----------|
| 10_left.jpeg                              | (2208, 2023) | (2439, 1697) |   399.55 |
|-------------------------------------------|--------------|--------------|----------|
| 10_right.jpeg                             | (3331, 2320) | (2985, 1562) |   833.23 |
|-------------------------------------------|--------------|--------------|----------|
| 10_test.tif                               | (472, 277)   | (468, 278)   |     4.12 |
|-------------------------------------------|--------------|--------------|----------|
| 12_test.tif                               | (94, 233)    | (82, 257)    |    26.83 |
|-------------------------------------------|--------------|--------------|----------|
| 13_left.jpeg                              | (486, 960)   | (504, 832)   |   129.26 |
|-------------------------------------------|--------------|--------------|----------|
| 13_right.jpeg                             | (2080, 842)  | (2119, 852)  |    40.26 |
|-------------------------------------------|--------------|--------------|----------|
| 13_test.tif                               | (472, 273)   | (486, 268)   |    14.87 |
|-------------------------------------------|--------------|--------------|----------|
| 14_test.tif                               | (423, 449)   | (479, 275)   |   182.79 |
|-------------------------------------------|--------------|--------------|----------|
| 15_test.tif                               | (201, 318)   | (193, 282)   |    36.88 |
|-------------------------------------------|--------------|--------------|----------|
| 16_test.tif                               | (477, 295)   | (479, 258)   |    37.05 |
|-------------------------------------------|--------------|--------------|----------|
| 17_left.jpeg                              | (1450, 1042) | (1396, 1322) |   285.16 |
|-------------------------------------------|--------------|--------------|----------|
| 17_test.tif                               | (476, 279)   | (467, 267)   |     15.0 |
|-------------------------------------------|--------------|--------------|----------|
| 18_test.tif                               | (451, 277)   | (471, 262)   |     25.0 |
|-------------------------------------------|--------------|--------------|----------|
| 19_left.jpeg                              | (1427, 1306) | (1445, 1176) |   131.24 |
|-------------------------------------------|--------------|--------------|----------|
| 19_right.jpeg                             | (2376, 1280) | (2456, 1269) |    80.75 |
|-------------------------------------------|--------------|--------------|----------|
| 19_test.tif                               | (483, 281)   | (486, 275)   |     6.71 |
|-------------------------------------------|--------------|--------------|----------|
| 1ffa92e4-8d87-11e8-9daf-6045cb817f5b..JPG | (584, 1529)  | (541, 1530)  |    43.01 |
|-------------------------------------------|--------------|--------------|----------|
| 1ffa92fb-8d87-11e8-9daf-6045cb817f5b..JPG | (1118, 944)  | (2620, 1343) |  1554.09 |
|-------------------------------------------|--------------|--------------|----------|
